,review_month,dominant_topic,sentiment_pred,count,share
133,2009-04-01,0,positive,2,0.4
134,2009-04-01,4,positive,1,1.0
135,2009-04-01,6,positive,2,1.0
136,2009-04-01,8,positive,1,1.0
137,2009-05-01,0,positive,1,1.0
138,2009-05-01,2,positive,1,1.0
139,2009-05-01,6,neutral,1,1.0
140,2009-06-01,0,negative,2,0.6666666666666666
141,2009-06-01,0,positive,1,0.3333333333333333
142,2009-06-01,4,positive,1,1.0
143,2009-06-01,6,neutral,1,1.0
144,2009-06-01,8,negative,1,0.3333333333333333
145,2009-06-01,8,neutral,1,0.3333333333333333
146,2009-06-01,8,positive,1,0.3333333333333333
147,2009-07-01,0,positive,2,1.0
148,2009-07-01,2,negative,1,1.0
149,2009-07-01,4,positive,3,1.0
150,2009-08-01,0,negative,1,0.2
151,2009-08-01,0,neutral,1,0.2
152,2009-08-01,0,positive,3,0.6
153,2009-08-01,2,positive,1,1.0
154,2009-08-01,4,negative,1,0.3333333333333333
155,2009-08-01,4,neutral,1,0.3333333333333333
156,2009-08-01,4,positive,1,0.3333333333333333
157,2009-08-01,8,positive,1,1.0
158,2009-09-01,0,negative,1,0.25
159,2009-09-01,0,neutral,1,0.25
160,2009-09-01,0,positive,2,0.5
161,2009-09-01,2,neutral,1,1.0
162,2009-09-01,4,neutral,1,0.3333333333333333
163,2009-09-01,4,positive,2,0.6666666666666666
164,2009-09-01,6,neutral,1,0.5
165,2009-09-01,6,positive,1,0.5
166,2009-10-01,0,positive,2,1.0
167,2009-10-01,2,negative,2,1.0
168,2009-10-01,4,neutral,1,0.25
169,2009-10-01,4,positive,3,0.75
170,2009-10-01,6,negative,1,0.3333333333333333
171,2009-10-01,6,positive,2,0.6666666666666666
172,2009-10-01,8,positive,2,1.0
173,2009-11-01,0,positive,8,1.0
174,2009-11-01,2,positive,1,1.0
175,2009-11-01,4,positive,1,1.0
176,2009-11-01,8,positive,1,1.0
177,2009-12-01,0,neutral,1,0.3333333333333333
178,2009-12-01,0,positive,2,0.6666666666666666
179,2009-12-01,2,negative,1,1.0
180,2009-12-01,4,negative,1,0.25
181,2009-12-01,4,positive,3,0.75
182,2010-01-01,0,positive,8,1.0
183,2010-01-01,4,neutral,1,0.3333333333333333
184,2010-01-01,4,positive,2,0.6666666666666666
185,2010-01-01,6,positive,5,1.0
186,2010-01-01,8,positive,1,1.0
187,2010-02-01,0,negative,2,0.25
188,2010-02-01,0,neutral,1,0.125
189,2010-02-01,0,positive,5,0.625
190,2010-02-01,4,negative,1,0.16666666666666666
191,2010-02-01,4,positive,5,0.8333333333333334
192,2010-02-01,6,negative,1,0.3333333333333333
193,2010-02-01,6,positive,2,0.6666666666666666
194,2010-02-01,8,positive,3,1.0
